CMDLINE /opt/miniconda3/envs/hpc/bin/python diffusion_profile.py
MEM 0.234375 1738015562.1024
FUNC __main__.evolve 103.2344 1738015566.6138 103.2344 1738015566.7023 1
FUNC __main__.evolve 103.2344 1738015566.7036 103.2344 1738015566.7929 1
FUNC __main__.evolve 103.2344 1738015566.7943 103.2344 1738015566.8834 1
FUNC __main__.evolve 103.2344 1738015566.8847 103.2344 1738015566.9736 1
FUNC __main__.evolve 103.2344 1738015566.9749 103.2344 1738015567.0646 1
FUNC __main__.evolve 103.2344 1738015567.0659 103.2344 1738015567.1553 1
FUNC __main__.evolve 103.2344 1738015567.1567 103.2344 1738015567.2457 1
FUNC __main__.evolve 103.2344 1738015567.2470 103.2344 1738015567.3398 1
FUNC __main__.evolve 103.2344 1738015567.3411 103.2344 1738015567.4305 1
FUNC __main__.evolve 103.2344 1738015567.4319 103.2344 1738015567.5218 1
FUNC __main__.evolve 103.2344 1738015567.5232 103.2344 1738015567.6149 1
FUNC __main__.evolve 103.2344 1738015567.6162 103.2344 1738015567.7060 1
FUNC __main__.evolve 103.2344 1738015567.7074 103.2344 1738015567.7981 1
FUNC __main__.evolve 103.2344 1738015567.7995 103.2344 1738015567.8898 1
FUNC __main__.evolve 103.2344 1738015567.8912 103.2344 1738015567.9829 1
FUNC __main__.evolve 103.2344 1738015567.9843 103.2344 1738015568.0772 1
FUNC __main__.evolve 103.2344 1738015568.0785 103.2344 1738015568.1705 1
FUNC __main__.evolve 103.2344 1738015568.1719 103.2344 1738015568.2617 1
FUNC __main__.evolve 103.2344 1738015568.2630 103.2344 1738015568.3541 1
FUNC __main__.evolve 103.2344 1738015568.3555 103.2344 1738015568.4486 1
FUNC __main__.evolve 103.2344 1738015568.4499 103.2344 1738015568.5403 1
FUNC __main__.evolve 103.2344 1738015568.5416 103.2344 1738015568.6308 1
FUNC __main__.evolve 103.2344 1738015568.6321 103.2344 1738015568.7244 1
FUNC __main__.evolve 103.2344 1738015568.7263 103.2344 1738015568.8245 1
FUNC __main__.evolve 103.2344 1738015568.8260 103.2344 1738015568.9171 1
FUNC __main__.evolve 103.2344 1738015568.9185 103.2344 1738015569.0089 1
FUNC __main__.evolve 103.2344 1738015569.0104 103.2344 1738015569.1007 1
FUNC __main__.evolve 103.2344 1738015569.1021 103.2344 1738015569.1921 1
FUNC __main__.evolve 103.2344 1738015569.1936 103.2344 1738015569.2839 1
FUNC __main__.evolve 103.2344 1738015569.2854 103.2344 1738015569.3760 1
FUNC __main__.evolve 103.2344 1738015569.3775 103.2344 1738015569.4698 1
FUNC __main__.evolve 103.2344 1738015569.4712 103.2344 1738015569.5622 1
FUNC __main__.evolve 103.2344 1738015569.5636 103.2344 1738015569.6539 1
FUNC __main__.evolve 103.2344 1738015569.6552 103.2344 1738015569.7449 1
FUNC __main__.evolve 103.2344 1738015569.7463 103.2344 1738015569.8361 1
FUNC __main__.evolve 103.2344 1738015569.8374 103.2344 1738015569.9558 1
FUNC __main__.evolve 103.2344 1738015569.9572 103.2344 1738015570.0562 1
FUNC __main__.evolve 103.2344 1738015570.0579 103.2344 1738015570.1501 1
FUNC __main__.evolve 103.2344 1738015570.1518 103.2344 1738015570.2421 1
FUNC __main__.evolve 103.2344 1738015570.2436 103.2344 1738015570.3382 1
FUNC __main__.evolve 103.2344 1738015570.3396 103.2344 1738015570.4305 1
FUNC __main__.evolve 103.2344 1738015570.4318 103.2344 1738015570.5228 1
FUNC __main__.evolve 103.2344 1738015570.5242 103.2344 1738015570.6169 1
FUNC __main__.evolve 103.2344 1738015570.6188 103.2344 1738015570.7153 1
FUNC __main__.evolve 103.2344 1738015570.7169 103.2344 1738015570.8107 1
FUNC __main__.evolve 103.2344 1738015570.8121 103.2344 1738015570.9020 1
FUNC __main__.evolve 103.2344 1738015570.9033 103.2344 1738015570.9924 1
FUNC __main__.evolve 103.2344 1738015570.9937 103.2344 1738015571.0836 1
FUNC __main__.evolve 103.2344 1738015571.0851 103.2344 1738015571.1766 1
FUNC __main__.evolve 103.2344 1738015571.1781 103.2344 1738015571.2711 1
FUNC __main__.evolve 103.2344 1738015571.2725 103.2344 1738015571.3618 1
FUNC __main__.evolve 103.2344 1738015571.3632 103.2344 1738015571.4562 1
FUNC __main__.evolve 103.2344 1738015571.4575 103.2344 1738015571.5486 1
FUNC __main__.run_experiment 49.3750 1738015562.2496 103.2344 1738015571.5513 0
MEM 103.234375 1738015567.3912
MEM 103.234375 1738015567.4963
MEM 103.234375 1738015567.6014
MEM 103.234375 1738015567.7064
MEM 103.234375 1738015567.8115
MEM 103.234375 1738015567.9166
MEM 103.234375 1738015568.0217
MEM 103.234375 1738015568.1268
MEM 103.234375 1738015568.2319
MEM 103.234375 1738015568.3370
MEM 103.234375 1738015568.4421
MEM 103.234375 1738015568.5472
MEM 103.234375 1738015568.6523
MEM 103.234375 1738015568.7574
MEM 103.234375 1738015568.8610
MEM 103.234375 1738015568.9651
MEM 103.234375 1738015569.0702
MEM 103.234375 1738015569.1753
MEM 103.234375 1738015569.2805
MEM 103.234375 1738015569.3831
MEM 103.234375 1738015569.4882
MEM 103.234375 1738015569.5933
MEM 103.234375 1738015569.6985
MEM 103.234375 1738015569.8036
MEM 103.234375 1738015569.9040
MEM 103.234375 1738015570.0065
MEM 103.234375 1738015570.1116
MEM 103.234375 1738015570.2167
MEM 103.234375 1738015570.3175
MEM 103.234375 1738015570.4227
MEM 103.234375 1738015570.5257
MEM 103.234375 1738015570.6262
MEM 103.234375 1738015570.7313
MEM 103.234375 1738015570.8341
MEM 103.234375 1738015570.9360
MEM 103.234375 1738015571.0412
MEM 103.234375 1738015571.1447
MEM 103.234375 1738015571.2499
MEM 103.234375 1738015571.3526
MEM 103.234375 1738015571.4577
MEM 103.234375 1738015571.5628
